accession_id,replicate_id,Trichome perimeter,Metals in stomata,Metal ring in trichomes,Trichome length,Leaf epidermis autofluorescence,Trichome autofluorescence,Trichome stem length,Metal surrounding trichomes,Number of trichome branches,Metal gradient in trichomes,Shaveproof trichomes,Autofluorescence color,Trichome circularity,Trichome area,Metal in trichome base,Callose content in trichomes,Trichome solidity,Trichome density
6396,82423,1942.652,0.0,0.0,3309.631,0.0,2.0,0.23,0.0,2.0,0.0,0.0,0.0,0.08072,23325.31,0.0,10.457,0.31304,2.0
6897,82424,2300.747,0.0,0.0,3541.158,0.0,3.0,0.28,0.0,3.0,0.0,0.0,0.0,0.06404,26361.77,0.0,4.724,0.25548,2.0
6898,82425,1630.705,1.0,2.0,2011.837,3.0,2.0,0.2,0.0,3.0,1.0,0.0,0.0,0.09176,17242.2,2.0,28.192,0.31936,1.0
6900,82426,2347.452,0.0,0.0,2487.446,2.0,1.0,0.27,0.0,2.5,0.0,1.0,0.0,0.06488,27705.97,1.0,35.575,0.19844,4.0
6903,82427,1351.064,0.0,1.0,1523.945,2.0,1.0,0.17,0.0,2.5,0.0,1.0,0.0,0.12152,17370.17,0.0,76.492,0.33344,3.0
6904,82428,,0.0,0.0,,0.0,0.0,,0.0,,0.0,0.0,,,,0.0,,,0.0
6907,82429,2179.093,0.0,1.0,2618.108,0.0,1.0,0.24,0.0,3.0,0.0,1.0,0.0,0.09308,33247.37,0.0,39.694,0.28712,3.0
6909,82430,1876.634,0.0,1.0,1973.408,3.0,2.0,0.16,0.0,3.0,0.0,1.0,0.0,0.08296,22346.4,1.0,137.035,0.28748,3.0
6911,82431,1787.261,0.0,2.0,1764.084,1.0,2.0,0.14,0.0,2.5,1.0,1.0,0.0,0.07896,19498.25,0.0,41.922,0.24236,3.0
6913,82432,1889.389,0.0,0.0,1706.514,3.0,3.0,0.25,0.0,2.5,0.0,1.0,0.0,0.08004,21638.24,0.0,114.831,0.23676,3.0
6917,82433,1924.593,0.0,1.0,2214.618,3.0,3.0,0.23,0.0,2.0,0.0,1.0,0.0,0.08208,24065.72,0.0,86.483,0.2668,2.5
6919,82434,1607.932,0.0,2.0,1685.08,1.0,1.0,0.2,0.0,2.5,1.0,1.0,0.0,0.09336,18665.59,0.0,42.622,0.273,1.5
6920,82435,2272.754,0.0,0.0,4060.986,0.0,2.0,0.31,2.0,3.0,0.0,0.0,0.0,0.06492,26439.69,2.0,6.747,0.30488,2.5
6922,82436,1905.391,0.0,2.0,2482.11,1.0,1.0,0.2,0.0,2.5,2.0,0.0,0.0,0.06036,17547.85,2.0,26.61,0.28712,2.0
6923,82437,1718.678,0.0,0.0,1950.486,4.0,2.0,0.19,2.0,3.0,0.0,1.0,0.0,0.08948,20510.56,2.0,88.968,0.28444,2.0
6924,82438,1839.654,0.0,2.0,2392.494,2.0,1.0,0.24,0.0,3.0,2.0,0.0,0.0,0.06992,18658.07,2.0,15.089,0.27804,3.0
6926,82439,2224.871,0.0,1.0,4011.419,0.0,2.0,0.19,0.0,3.5,0.0,1.0,0.0,0.07244,27571.29,2.0,55.322,0.33852,1.0
6929,82440,1712.708,0.0,1.0,2258.85,0.0,0.5,0.18,0.0,3.0,0.0,0.0,0.0,0.07628,18056.6,2.0,5.618,0.27536,1.0
6931,82441,1703.251,0.0,2.0,1995.936,2.0,3.0,0.22,0.0,3.0,1.0,1.0,0.0,0.0732,17008.34,2.0,23.383,0.30544,2.5
6932,82442,1520.555,0.0,2.0,1784.609,0.0,1.0,0.15,0.0,3.0,0.0,0.0,0.0,0.07976,13843.68,2.0,48.345,0.27528,1.0
6933,82443,2256.353,0.0,0.0,2432.201,0.0,3.0,0.27,2.0,3.0,0.0,1.0,0.0,0.07936,30953.63,2.0,76.993,0.2414,2.0
6938,82444,1711.862,0.0,2.0,1811.093,0.0,2.0,0.25,0.0,2.5,0.0,1.0,0.0,0.075,16795.41,0.0,3.359,0.229,2.5
6940,82445,2206.828,0.0,2.0,4034.49,2.0,3.0,0.19,0.0,3.0,1.0,0.0,0.0,0.07128,27607.82,0.0,15.237,0.27712,2.5
6943,82446,2029.452,0.0,0.0,2369.698,2.0,3.0,0.22,0.0,3.0,0.0,1.0,1.0,0.06916,22593.44,2.0,152.248,0.231,2.5
