accession_id,replicate_id,Rosette diameter Mine,Leaf  S Mine (μg/g),Leaf Ca Mine (μg/g),Leaf Zn Mine (μg/g),Leaf K Mine (μg/g),Leaf B Mine (μg/g),Leaf Cu Mine (μg/g),Leaf Na Mine (μg/g),Leaf Fe Mine (μg/g),Leaf Mg Mine (μg/g),Leaf Mn Mine (μg/g),Estimated Soil Pb,Leaf Pb Mine (μg/g),Growth rate,Leaf P Mine (μg/g)
7390,71853,56.0,2883.03,27042.07,161.89,18145.41,82.7,15.04,3856.41,349.71,3425.34,57.57,1.049753795,26.71,0.67,3399.46
7391,71854,63.0,1870.66,13008.44,61.5,23547.96,25.04,9.62,932.51,81.38,1789.4,,1.508136286,0.662,0.91,1956.48
7405,71855,80.0,1305.19,13645.13,79.9,11660.92,,5.89,2866.12,57.68,1928.39,20.91,0.182652176,1.403,0.82,2505.8
7408,71856,60.0,14674.26,38405.91,682.29,109627.69,,69.6,3445.84,182.91,9362.79,239.28,0.854688923,3.908,0.66,11679.35
7418,71857,51.0,1535.93,29023.6,112.21,22251.43,59.78,10.86,2772.75,98.36,3479.33,60.21,,4.647,0.57,2784.53
7430,71858,,1174.8,25606.31,87.7,17660.5,,5.49,6427.76,104.02,3621.67,53.23,,,,2566.2
7438,71859,24.0,3721.59,30149.61,185.27,23829.7,61.0,,6995.38,188.17,4716.89,97.4,,14.707,0.44,5000.86
7449,71860,29.0,15232.52,30927.06,469.37,66247.82,,77.16,2104.41,150.85,6081.16,99.4,,7.064,0.33,6779.36
7460,71861,55.0,1112.65,15439.7,70.36,11480.61,,8.8,4017.89,206.52,1786.92,36.88,,85.028,0.66,2055.46
7472,71862,21.0,2351.62,35655.81,130.66,33667.31,60.52,15.69,3270.02,185.86,4056.29,60.35,,5.006,0.38,3907.62
7477,71863,48.0,2613.94,24567.07,159.1,18935.27,48.24,11.64,1585.67,214.82,3304.26,55.74,,5.311,0.76,3975.62
7490,71864,56.0,4184.74,21154.82,105.18,28703.98,51.81,9.02,6740.06,250.31,2984.29,54.79,1.340764491,7.821,0.8,5656.47
7498,71865,31.0,1652.87,24153.11,86.5,22990.35,46.4,8.16,2110.4,134.9,3045.39,45.91,0.915396466,8.153,0.65,3782.36
7502,71866,21.0,4697.76,41246.69,241.64,30884.68,56.8,,5526.4,454.04,5469.73,94.44,1.175998344,19.083,0.7,4084.86
7506,71867,40.0,4617.43,41860.54,124.33,29353.09,0.0,,4756.72,285.12,5749.29,84.58,0.348859928,19.997,0.47,2961.62
7508,71868,33.0,3177.66,31274.98,104.95,28489.2,63.51,16.79,3331.77,380.28,4389.79,65.71,0.348859928,8.908,0.75,4425.96
7514,71869,41.0,1197.4,20709.35,83.6,22006.57,,10.69,1195.9,94.52,2491.03,39.02,,2.443,0.57,3210.02
7515,71870,59.0,1834.16,25754.84,206.2,25832.82,45.22,,7123.87,107.41,3124.0,71.02,,1.387,1.23,5038.12
7516,71871,33.0,3249.49,33626.88,151.53,36140.88,,,5165.24,149.93,4295.27,77.39,,4.29,0.53,3498.46
7520,71872,32.0,1079.66,18029.48,77.85,17310.27,,,1981.03,,2481.19,37.53,,2.265,0.52,2426.09
7521,71873,32.0,2264.51,27098.44,64.78,27293.53,,,2347.19,73.03,3556.7,65.09,,3.054,0.67,3562.04
7523,71874,51.0,5491.38,36620.49,255.67,34248.36,106.52,,5635.44,142.32,4591.2,79.99,,3.415,0.8,7605.16
8213,71875,41.0,6088.15,49205.81,215.76,33257.4,,,6773.32,202.69,6689.43,76.91,,10.395,0.76,7934.02
8214,71876,46.0,1734.31,15678.37,71.62,20642.7,,,2225.85,91.2,2010.61,31.49,,5.942,0.63,2257.12
8215,71877,64.0,1718.43,18252.85,99.12,15780.94,,,4552.81,108.7,2458.55,36.33,,5.454,0.79,1724.04
8231,71878,50.0,1620.73,17319.14,88.64,20864.36,18.66,,2122.33,151.88,2288.29,48.1,-0.341151293,9.497,0.74,3869.76
8235,71879,25.0,2281.8,25122.8,155.4,23215.15,,,2265.83,324.48,2894.76,71.19,-0.523933314,57.852,0.4,4473.44
8241,71880,50.0,2526.61,17278.75,69.05,18726.61,,,1224.27,37.13,2556.68,36.27,0.94285671,3.595,0.66,3739.66
8246,71881,53.0,4894.28,23567.08,147.7,27684.43,26.93,,3251.42,291.88,3382.18,63.8,,14.189,0.76,5516.63
